Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
PER,1,MEDIUM,19,17,93.07900000000001,97.863,4.783999999999992,0.28141176470588186,0.06623284313725006,35.152631578947364,27.189473684210526,2,20
PER,2,HARD,37,35,91.864,90.56,-1.304000000000002,-0.03725714285714291,-0.02402689075630136,34.824324324324316,27.110810810810808,21,57
ALO,1,MEDIUM,23,21,93.47200000000001,97.282,3.809999999999988,0.18142857142857086,0.01824675324675276,35.3,27.186956521739134,2,24
ALO,2,HARD,33,31,92.721,90.519,-2.201999999999998,-0.07103225806451607,-0.037689112903225123,34.624242424242425,27.106060606060606,25,57
SAI,1,MEDIUM,17,15,93.56700000000001,97.311,3.7439999999999998,0.2496,0.07922857142857044,35.21764705882352,27.200000000000003,2,18
SAI,2,HARD,39,37,92.346,91.463,-0.8830000000000098,-0.02386486486486513,-0.042088430535798485,34.75897435897436,27.110256410256405,19,57
GAS,1,MEDIUM,14,12,93.531,98.406,4.875,0.40625,0.1961153846153813,35.442857142857136,27.221428571428568,2,15
GAS,2,HARD,42,40,92.436,92.01400000000001,-0.42199999999999704,-0.010549999999999926,-0.01606754221388367,34.72380952380952,27.10714285714285,16,57
RUS,1,MEDIUM,16,14,93.64,97.60900000000001,3.9690000000000083,0.2835000000000006,0.07048571428571265,35.262499999999996,27.2125,2,17
RUS,2,HARD,40,38,92.456,91.015,-1.4410000000000025,-0.037921052631579015,-0.043383192909508976,34.77,27.1175,18,57
LEC,1,MEDIUM,16,14,94.83,97.64500000000001,2.815000000000012,0.20107142857142943,0.09379560439560045,35.262499999999996,27.2125,2,17
LEC,2,HARD,40,38,92.826,91.434,-1.391999999999996,-0.036631578947368314,-0.03136732684101095,34.8175,27.110000000000003,18,57
MAG,1,MEDIUM,13,11,94.07900000000001,98.72800000000001,4.649000000000001,0.4226363636363637,0.253772727272729,35.52307692307692,27.22307692307692,2,14
MAG,2,HARD,43,41,92.64500000000001,92.025,-0.6200000000000045,-0.015121951219512306,-0.020949477351916605,34.76744186046511,27.113953488372086,15,57
VER,1,HARD,44,42,92.935,95.856,2.9209999999999923,0.06954761904761886,-0.029697998541446013,35.309090909090905,27.163636363636364,2,45
VER,2,MEDIUM,12,10,90.637,90.273,-0.3640000000000043,-0.03640000000000043,-0.08707272727272726,33.56666666666667,27.04166666666667,46,57
BOT,1,MEDIUM,14,12,94.493,99.631,5.138000000000005,0.4281666666666671,0.16325524475524453,35.442857142857136,27.221428571428568,2,15
BOT,2,HARD,42,40,93.893,91.894,-1.9989999999999952,-0.04997499999999988,-0.022839681050657014,34.75714285714285,27.111904761904757,16,57
OCO,1,HARD,38,36,94.344,97.507,3.163000000000011,0.08786111111111142,-0.0007064350064356076,35.571052631578944,27.226315789473688,2,39
OCO,2,MEDIUM,18,16,91.708,91.429,-0.27899999999999636,-0.017437499999999773,-0.02675882352941433,33.56666666666666,26.95555555555556,40,57
HUL,1,HARD,32,30,94.463,100.557,6.094000000000008,0.2031333333333336,0.017255839822023722,35.715625,27.278125000000003,2,33
HUL,2,MEDIUM,24,22,90.901,93.024,2.1230000000000047,0.09650000000000021,0.0303850931677049,33.85,26.954166666666666,34,57
ALB,1,MEDIUM,21,19,94.269,99.05799999999999,4.788999999999987,0.2520526315789467,0.08490877192982586,35.19047619047618,27.19047619047619,2,22
ALB,2,HARD,35,33,92.519,92.05799999999999,-0.46100000000001273,-0.013969696969697356,-0.005350935828877442,34.73714285714285,27.102857142857143,23,57
HAM,1,HARD,36,34,94.11500000000001,97.819,3.7039999999999935,0.10894117647058804,-0.01744843391902354,35.59166666666666,27.250000000000004,2,37
HAM,2,MEDIUM,20,18,91.694,90.669,-1.0250000000000057,-0.05694444444444476,-0.02323219814241515,33.74499999999999,26.945,38,57
PIA,1,SOFT,4,2,93.959,98.967,5.007999999999996,2.503999999999998,5.007999999999975,34.375,26.799999999999997,2,5
PIA,2,HARD,51,49,93.357,92.006,-1.350999999999999,-0.027571428571428552,-0.026798979591836584,34.931372549019606,27.172549019607843,6,56
TSU,1,HARD,35,33,93.804,97.007,3.203000000000003,0.09706060606060615,-0.014268382352939165,35.617142857142845,27.251428571428573,2,36
TSU,2,MEDIUM,21,19,91.944,91.325,-0.6189999999999998,-0.03257894736842104,-0.06540175438596715,33.766666666666666,26.95714285714286,37,57
ZHO,1,HARD,30,28,93.834,97.61,3.7759999999999962,0.13485714285714273,0.03126409414340467,35.76333333333333,27.276666666666667,2,31
ZHO,2,MEDIUM,26,24,91.894,92.184,0.28999999999999204,0.012083333333333002,-0.007736086956519749,33.95769230769231,26.980769230769234,32,57
STR,1,HARD,41,39,93.947,97.256,3.3089999999999975,0.08484615384615378,-0.02308623481781307,35.4609756097561,27.19512195121952,2,42
STR,2,MEDIUM,15,13,91.357,91.047,-0.3100000000000023,-0.02384615384615402,-0.053945054945054104,33.54,26.993333333333336,43,57
NOR,1,SOFT,3,1,98.826,98.826,0.0,0.0,0.0,34.1,26.766666666666666,2,4
NOR,2,HARD,53,51,93.06700000000001,92.839,-0.22800000000000864,-0.004470588235294287,-0.010352307692308837,34.907547169811316,27.160377358490567,5,57
DEV,1,MEDIUM,14,12,94.126,98.80799999999999,4.681999999999988,0.39016666666666566,0.15353146853146454,35.449999999999996,27.228571428571428,2,15
DEV,2,HARD,42,40,93.104,91.562,-1.5420000000000016,-0.03855000000000004,-0.04277073170731677,34.71428571428571,27.116666666666656,16,57
SAR,2,HARD,53,51,93.394,94.64099999999999,1.2469999999999857,0.024450980392156582,-0.014236923076922795,34.91132075471698,27.154716981132072,4,56
